,City,Cloudiness,Cuntry,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
57,Atuona,59,PF,1564287721,74,-9.8,-139.03,80.2,19.95
58,Grindavik,75,IS,1564288287,93,63.84,-22.43,57.2,23.04
59,Rutana,17,BI,1564288289,37,-3.93,29.99,72.71,1.52
60,Martaban,100,MM,1564288290,87,16.53,97.61,78.51,6.22
61,Tura,19,RU,1564288292,43,64.27,100.22,68.56,7.11
62,North Mankato,1,US,1564288293,88,44.17,-94.03,71.6,3.02
63,Saint-Philippe,1,CA,1564288294,73,45.36,-73.48,75.99,4.7
64,Rio Grande,15,BR,1564288295,97,-32.03,-52.1,39.99,1.28
65,Douentza,100,ML,1564288297,87,15.01,-2.95,72.97,11.14
66,Barrow,73,AR,1564288298,68,-38.31,-60.23,40.28,9.22
67,Antofagasta,90,CL,1564288207,67,-23.65,-70.4,57.2,4.7
68,Russell,1,US,1564288300,44,38.9,-98.86,79.0,12.75
69,Nola,99,CF,1564288301,92,3.52,16.05,69.62,2.93
70,Souillac,0,FR,1564288303,87,45.6,-0.6,60.01,3.36
71,Guarapari,75,BR,1564288217,93,-20.67,-40.5,66.0,2.24
72,Launceston,40,AU,1564288329,62,-41.43,147.14,54.0,16.11
73,Cortez,1,US,1564288334,63,37.35,-108.58,66.99,3.36
74,Thompson,40,CA,1564288335,72,55.74,-97.86,62.6,4.7
75,Bubaque,100,GW,1564288337,84,11.28,-15.83,78.51,14.14
76,La Orilla,83,MX,1564288338,84,18.0,-102.23,78.01,5.12
77,Ketchikan,90,US,1564288341,82,55.34,-131.65,60.8,11.41
78,Nanortalik,100,GL,1564287760,86,60.14,-45.24,43.5,11.05
79,Kazachinskoye,36,RU,1564288343,34,57.69,93.28,74.24,5.23
80,Alegrete,22,BR,1564288344,90,-29.79,-55.79,48.16,4.94
81,Saint George,0,GR,1564288346,77,39.45,22.34,71.6,1.21
82,Sibolga,54,ID,1564288347,71,1.74,98.78,81.98,4.29
83,Valley City,1,US,1564288320,100,46.92,-98.0,68.0,5.82
84,Castro,90,CL,1564288351,100,-42.48,-73.76,33.8,3.36
85,Beringovskiy,100,RU,1564288352,82,63.05,179.32,51.47,6.76
86,Nishihara,75,JP,1564288353,63,35.74,139.53,93.0,5.82
87,Manta,58,RO,1564288354,60,45.1,24.1,73.83,9.93
88,Ribeira Grande,0,PT,1564288355,89,38.52,-28.7,72.07,14.0
89,Alexandria,40,RO,1564288356,35,43.97,25.33,81.0,10.38
90,Norman Wells,20,CA,1564288358,48,65.28,-126.83,62.6,14.99
91,Hamilton,75,CA,1564288104,78,43.26,-79.87,78.01,8.05
92,Plettenberg Bay,0,ZA,1564288360,48,-34.05,23.37,59.05,3.51
93,Codrington,40,AU,1564288361,56,-28.95,153.24,69.8,9.17
94,Bethel,90,US,1564288363,67,60.79,-161.76,60.8,4.7
95,Chuy,9,UY,1564288364,88,-33.69,-53.46,47.68,3.51
96,Phuket,40,TH,1564288365,62,7.89,98.4,87.8,12.75
97,Neuquen,0,AR,1564288258,43,-38.95,-68.06,51.8,9.17
98,Mayo,90,CA,1564288369,93,63.59,-135.9,57.2,3.36
99,Edeia,0,BR,1564288371,55,-17.34,-49.93,64.43,7.7
100,Santa Vitoria do Palmar,0,BR,1564288372,91,-33.52,-53.37,45.1,3.0
101,Muyezerskiy,79,RU,1564288373,67,63.93,31.65,52.37,12.1
102,Fortuna,1,US,1564288375,82,40.6,-124.16,62.01,10.29
103,Berlevag,100,NO,1564288376,82,70.86,29.09,43.91,17.81
104,Sao Miguel do Araguaia,23,BR,1564288377,51,-13.28,-50.16,66.65,5.57
105,Araouane,0,ML,1564288378,32,18.9,-3.53,91.65,11.92
106,Beruwala,77,LK,1564288380,81,6.48,79.98,81.44,14.9
107,Port Elizabeth,1,US,1564288381,78,39.31,-74.98,75.99,5.66
108,Khandyga,36,RU,1564288382,28,62.65,135.58,84.38,5.06
109,Guerrero Negro,18,MX,1564288383,81,27.97,-114.04,69.71,12.71
110,Sorland,41,NO,1564288385,84,67.67,12.69,55.52,20.85
111,Haines Junction,76,CA,1564288386,79,60.75,-137.51,44.42,6.8
112,Riyadh,0,SA,1564288387,17,24.63,46.72,89.6,4.7
113,Kirkuk,0,IQ,1564288388,16,35.47,44.4,92.06,6.08
114,Presidencia Roque Saenz Pena,87,AR,1564288389,77,-26.79,-60.44,53.83,6.55
115,Hobart,75,AU,1564288383,44,-42.88,147.33,57.2,12.75
116,Pimentel,8,BR,1564288392,99,-3.7,-45.5,70.5,1.63
117,Sinnamary,0,GF,1564288393,84,5.38,-52.96,78.11,9.51
118,Lasa,20,CY,1564288395,88,34.92,32.53,77.0,6.93
119,Adwa,92,ET,1564288396,81,14.16,38.9,65.1,3.4
120,Kisangani,100,CD,1564288397,93,0.52,25.21,70.91,1.9
121,Chokurdakh,100,RU,1564288398,67,70.62,147.9,41.52,9.48
122,Ancud,90,CL,1564288400,100,-41.87,-73.83,33.8,3.36
123,Sioux Lookout,5,CA,1564288343,88,50.1,-91.92,68.0,4.7
124,Cape Town,90,ZA,1564288403,100,-33.93,18.42,55.0,1.12
125,Zirovnice,90,CZ,1564288404,100,49.25,15.19,64.99,6.93
126,South River,1,US,1564288405,64,40.45,-74.39,77.0,5.91
127,Vardo,1,US,1564288407,64,39.62,-77.74,77.0,4.7
128,Rafai,100,CF,1564288408,94,4.95,23.92,68.84,0.96
129,Collie,2,AU,1564288409,35,-33.36,116.15,62.01,5.61
130,Nome,1,US,1564288410,100,30.04,-94.42,82.99,4.41
131,Vallenar,100,CL,1564288412,77,-28.58,-70.76,44.2,2.24
132,Norsup,75,VU,1564288413,69,-16.07,167.38,78.8,13.87
133,Grahamstown,0,ZA,1564288414,14,-33.31,26.53,71.06,18.25
134,Rancho Palos Verdes,1,US,1564288415,73,33.75,-118.37,78.8,8.05
135,Mizusawa,40,JP,1564288417,59,39.14,141.14,89.6,8.05
136,Kristiansund,30,NO,1564288418,83,63.12,7.73,69.8,12.75
137,Sitka,38,US,1564288419,51,37.17,-99.65,77.0,5.99
138,Rocha,0,UY,1564288420,94,-34.48,-54.34,40.96,1.68
139,Zhob,54,PK,1564288427,50,31.34,69.45,78.38,7.61
140,Elk City,1,US,1564288428,50,35.41,-99.4,80.6,8.05
141,Alugan,100,PH,1564288430,71,12.22,125.48,84.5,5.35
142,Harper,1,US,1564288431,50,30.3,-99.24,81.0,12.35
143,Tiksi,82,RU,1564288432,75,71.64,128.87,41.66,11.32
144,Alofi,100,NU,1564288434,88,-19.06,-169.92,69.8,13.87
145,Geraldton,40,CA,1564288435,82,49.72,-86.95,66.2,6.93
146,Tuktoyaktuk,40,CA,1564288436,51,69.44,-133.03,60.8,11.41
147,Butaritari,77,KI,1564288437,69,3.07,172.79,85.28,8.16
148,Nizhniy Tsasuchey,31,RU,1564288439,37,50.52,115.13,81.32,15.12
149,Te Anau,100,NZ,1564288440,91,-45.41,167.72,47.24,1.77
150,Bull Savanna,4,JM,1564288441,77,17.89,-77.59,81.79,3.22
151,Lake Havasu City,1,US,1564288443,6,34.47,-114.34,109.4,11.41
152,Dong Hoi,33,VN,1564288444,46,17.48,106.6,94.44,3.31
153,Fairbanks,75,US,1564288283,59,64.84,-147.72,64.4,4.7
154,Bambous Virieux,75,MU,1564288446,100,-20.34,57.76,72.0,12.75
155,Lagoa,0,PT,1564288447,88,37.14,-8.45,64.4,6.93
156,Coahuayana,98,MX,1564288449,93,18.62,-100.35,71.0,3.56
157,Clyde River,90,CA,1564288451,100,70.47,-68.59,41.0,16.11
158,Airai,0,TL,1564288452,46,-8.93,125.41,83.93,3.85
159,Sao Filipe,100,CV,1564288454,73,14.9,-24.5,75.58,3.13
160,Mortka,100,RU,1564288455,87,59.33,66.02,61.09,6.4
161,Mehamn,100,NO,1564288458,81,71.03,27.85,42.51,12.71
162,Bathsheba,40,BB,1564288460,88,13.22,-59.52,80.6,17.22
163,Puerto Leguizamo,100,CO,1564288461,99,-0.19,-74.78,68.63,2.28
164,Arraial do Cabo,0,BR,1564288463,88,-22.97,-42.02,65.87,6.62
165,Ballina,98,IE,1564288465,95,54.11,-9.15,55.0,11.95
166,Creel,82,MX,1564288468,90,27.75,-107.63,58.69,2.53
167,Redcar,52,GB,1564288422,100,54.62,-1.06,62.6,8.05
168,Rome,75,IT,1564288257,88,41.89,12.48,73.4,5.82
169,Erie,20,US,1564288338,60,42.13,-80.09,75.99,9.17
170,San Policarpo,100,PH,1564288473,77,12.18,125.51,82.56,8.3
171,Krasnoarmeysk,0,RU,1564288474,88,56.12,38.15,72.0,6.71
172,Carutapera,37,BR,1564288476,86,-1.2,-46.02,77.09,5.86
173,Santa Isabel,1,MX,1564288477,14,32.63,-115.58,105.8,12.75
174,Hovd,0,NO,1564288478,77,63.83,10.7,71.01,8.05
175,Carnarvon,25,ZA,1564288479,34,-30.97,22.13,51.13,11.72
176,Coihaique,0,CL,1564288480,98,-45.58,-72.07,32.0,10.29
177,Makakilo City,90,US,1564288481,69,21.35,-158.09,86.0,5.82
178,Mocuba,69,MZ,1564288483,91,-16.84,36.99,64.58,4.72
179,Lavrentiya,25,RU,1564288484,65,65.58,-170.99,50.5,8.19
180,Esperance,90,AU,1564288485,82,-33.86,121.89,59.0,12.75
181,Chicama,90,PE,1564288486,87,-7.84,-79.15,60.8,10.29
182,Jiexiu,0,CN,1564288488,36,37.02,111.92,93.41,4.79
183,Saint-Louis,0,SN,1564288489,83,16.03,-16.5,78.8,6.93
184,Kaitangata,100,NZ,1564288490,71,-46.28,169.85,51.01,1.99
185,Nabire,100,ID,1564288492,94,-3.36,135.5,71.35,5.19
186,Portland,1,US,1564288493,88,43.66,-70.25,66.2,3.36
187,Penzance,0,GB,1564288494,93,50.12,-5.53,61.0,9.17
188,Camacha,75,PT,1564288496,83,33.08,-16.33,73.4,16.11
189,Baoqing,83,CN,1564288497,67,46.32,132.2,88.99,6.17
190,Makambako,27,TZ,1564288498,47,-8.85,34.82,63.14,10.54
191,Antanifotsy,60,MG,1564288499,54,-19.66,47.32,53.53,4.56
192,Saint-Georges,7,CA,1564288501,79,46.12,-70.67,68.0,1.99
193,Atar,0,MR,1564288502,44,20.52,-13.05,79.81,6.62
194,Dasoguz,0,TM,1564288504,49,41.84,59.97,89.6,9.17
195,Akdepe,0,TM,1564288505,49,42.05,59.39,89.6,9.17
196,Erdenet,100,MN,1564288506,91,49.03,104.04,51.64,7.05
197,Qingdao,20,CN,1564288507,66,36.09,120.35,89.6,11.18
198,Aranos,0,NA,1564288509,23,-24.14,19.11,51.8,10.74
199,Durres,20,AL,1564288398,83,41.32,19.44,69.8,2.24
200,Broome,100,GB,1564288511,100,52.47,1.45,62.6,10.29
201,San Quintin,21,PH,1564288512,65,17.54,120.52,85.08,5.79
202,Capinopolis,0,BR,1564288513,48,-18.68,-49.57,63.82,4.43
203,Agadir,20,MA,1564288515,82,30.42,-9.58,64.4,4.7
204,Hobyo,100,SO,1564288517,51,5.35,48.53,83.17,22.84
205,Iki-Burul,0,RU,1564288519,77,45.82,44.65,69.8,17.9
206,Kysyl-Syr,1,RU,1564288521,31,63.9,122.77,85.22,4.34
207,Honiara,75,SB,1564288522,94,-9.43,159.96,78.8,5.82
208,Bonthe,100,SL,1564288523,87,7.53,-12.5,76.48,17.74
209,Suchedniow,44,PL,1564288524,100,51.05,20.83,68.0,7.72
210,Pitimbu,75,BR,1564288525,100,-7.47,-34.81,71.6,5.82
211,Pierre,20,US,1564288506,73,44.37,-100.35,73.4,6.93
212,Ambon,0,FR,1564288528,100,47.55,-2.56,60.01,5.82
213,Provideniya,47,RU,1564288529,52,64.42,-173.23,51.58,6.42
214,Waipawa,100,NZ,1564288530,74,-39.94,176.59,55.0,2.64
215,San Andres,98,PH,1564288531,68,13.32,122.68,85.87,11.52
216,Katsuura,40,JP,1564288533,83,33.93,134.5,86.0,9.17
217,Nalut,0,LY,1564288536,14,31.86,10.98,87.47,14.94
218,Georgetown,75,GY,1564288537,94,6.8,-58.16,75.2,4.7
219,Lompoc,90,US,1564288538,93,34.64,-120.46,64.99,4.7
220,Oranjemund,70,ZA,1564288539,80,-28.55,16.43,57.25,2.21
221,Esmeraldas,0,BR,1564288540,71,-19.76,-44.31,59.0,3.36
222,Kalmunai,39,LK,1564288542,31,7.42,81.82,96.02,7.9
223,Aklavik,75,CA,1564288543,38,68.22,-135.01,59.0,6.93
224,Kutum,51,SD,1564288544,62,14.2,24.66,76.89,23.04
225,Ubon Ratchathani,0,TH,1564288545,62,15.23,104.86,87.8,10.29
226,Itarema,38,BR,1564288546,88,-2.92,-39.92,73.72,5.57
227,Gobabis,0,NA,1564288548,35,-22.45,18.97,42.8,1.12
228,San Patricio,8,PY,1564288549,95,-26.98,-56.83,45.1,3.83
229,Soyo,0,AO,1564288551,82,-6.13,12.37,70.23,5.88
230,Rincon,20,PA,1564288552,94,8.46,-82.28,78.8,2.24
231,Ponta do Sol,0,BR,1564288553,68,-20.63,-46.0,55.52,3.69
232,Iqaluit,75,CA,1564288554,76,63.75,-68.52,50.0,12.75
233,Mehran,0,IR,1564288555,25,33.12,46.17,75.2,4.7
234,Talnakh,75,RU,1564288557,81,69.49,88.39,50.0,2.24
235,Naurskaya,0,RU,1564288558,60,43.65,45.31,73.4,8.95
236,Aswan,0,EG,1564288559,28,24.09,32.9,84.2,1.12
237,Whitehorse,90,CA,1564288560,62,60.72,-135.06,57.2,16.11
238,Severo-Kurilsk,100,RU,1564288561,98,50.68,156.12,48.25,18.23
239,Kambove,61,CD,1564288563,53,-10.88,26.6,53.02,7.27
240,Puerto Ayora,27,EC,1564288564,100,-0.74,-90.35,66.0,4.0
241,Comodoro Rivadavia,0,AR,1564288565,32,-45.87,-67.48,53.6,8.05
242,Hirara,40,JP,1564288566,66,24.8,125.28,91.4,10.29
243,Moranbah,0,AU,1564288568,39,-22.0,148.04,74.01,9.95
244,Starkville,19,US,1564288522,94,33.45,-88.82,75.2,2.64
245,Ahipara,100,NZ,1564288570,100,-35.17,173.16,59.0,13.6
246,Tautira,20,PF,1564288571,74,-17.73,-149.15,80.6,5.82
247,Muroto,75,JP,1564288573,79,33.37,134.14,86.0,9.17
248,Charters Towers,0,AU,1564288574,33,-20.07,146.27,76.42,10.22
249,Khatanga,40,RU,1564288575,49,71.98,102.47,64.92,7.65
250,Conceicao do Coite,28,BR,1564288577,98,-11.56,-39.28,63.71,5.41
251,Maceio,40,BR,1564288362,88,-9.67,-35.74,71.6,5.82
252,Dubrovnik,0,HR,1564288579,54,42.65,18.09,78.8,24.16
253,Dingle,100,PH,1564288580,94,11.0,122.67,74.96,2.64
254,Atasu,91,KZ,1564288581,21,48.68,71.64,84.13,13.38
255,Kihei,1,US,1564288583,61,20.76,-156.45,84.2,21.92
256,Rypefjord,26,NO,1564288584,81,70.63,23.67,46.4,9.17
257,Hithadhoo,5,MV,1564288585,66,-0.6,73.08,82.79,2.17
258,Cartagena,0,ES,1564288586,47,37.63,-1.0,77.0,3.33
259,Kuching,75,MY,1564288588,62,1.56,110.34,89.6,2.24
260,Port Hardy,75,CA,1564288589,87,50.7,-127.42,59.0,5.82
261,Hervey Bay,0,AU,1564288590,33,-25.3,152.85,77.0,8.05
262,Almeirim,27,BR,1564288592,90,-1.53,-52.58,72.12,2.51
263,Beyneu,67,KZ,1564288593,40,45.32,55.19,82.47,21.12
264,Cayenne,0,GF,1564288594,94,4.94,-52.33,73.4,3.58
265,Mizdah,0,LY,1564288595,18,31.45,12.98,83.41,8.43
266,Nouakchott,0,MR,1564288596,88,18.08,-15.98,75.2,10.29
267,Tacuba,97,SV,1564288597,91,13.9,-89.93,69.13,9.66
268,Sistranda,0,NO,1564288599,82,63.73,8.83,68.0,9.17
269,Elizabeth City,1,US,1564288600,88,36.3,-76.22,71.6,1.86
270,Amantea,0,IT,1564288601,88,39.13,16.07,78.01,3.36
271,Sabang,84,PH,1564288602,91,13.8,121.11,79.0,1.01
272,Alyangula,0,AU,1564288575,51,-13.85,136.42,82.4,9.17
273,Pevek,100,RU,1564288606,95,69.7,170.27,33.67,3.2
274,Bambanglipuro,73,ID,1564288607,85,-7.95,110.28,74.06,15.01
275,Cognac,0,FR,1564288608,87,45.69,-0.33,59.0,3.36
276,General Roca,0,AR,1564288609,43,-39.03,-67.58,51.8,9.17
277,Jalu,0,LY,1564288611,44,29.03,21.55,81.01,10.87
278,Salalah,90,OM,1564288612,94,17.01,54.1,77.0,3.36
279,Los Llanos de Aridane,90,ES,1564288613,73,28.66,-17.92,73.4,14.99
280,Komatipoort,3,MZ,1564288614,93,-25.43,31.96,48.0,3.65
281,Saint-Francois,90,FR,1564288615,93,46.42,3.91,60.8,6.93
282,Dovolnoye,12,RU,1564288617,42,54.5,79.67,78.6,11.39
283,Sampit,54,ID,1564288618,41,-2.54,112.95,92.39,6.78
284,Huarmey,61,PE,1564288619,88,-10.07,-78.15,60.55,15.79
285,Pueblo Nuevo Vinas,40,GT,1564288324,82,14.23,-90.47,66.2,18.34
286,Madang,37,CN,1564288621,70,35.32,102.79,63.01,4.43
287,Bohuslav,24,UA,1564288623,65,49.55,30.87,73.33,5.55
288,Auki,53,NG,1564288624,87,12.18,6.51,73.9,9.71
289,Yar-Sale,98,RU,1564288625,55,66.83,70.83,51.69,12.44
290,Odate,75,JP,1564288626,94,40.3,140.55,89.01,6.93
291,Luderitz,82,NA,1564288628,93,-26.65,15.16,50.0,1.12
292,Bintulu,75,MY,1564288540,70,3.17,113.03,87.8,6.93
293,Cherskiy,98,RU,1564288630,48,68.75,161.3,49.04,2.77
294,San Matias,0,BO,1564288631,64,-16.36,-58.4,60.65,4.76
295,Saint-Augustin,20,CA,1564288633,68,45.63,-73.98,75.2,5.82
296,Nizwa,70,OM,1564288361,53,22.93,57.53,84.27,6.93
297,Sakaiminato,75,JP,1564288635,52,35.55,133.23,91.4,3.36
298,Hami,0,CN,1564288637,19,42.84,93.51,85.35,7.38
299,Mandalgovi,17,MN,1564288638,30,45.76,106.27,72.73,22.19
300,Praia da Vitoria,20,PT,1564288639,83,38.73,-27.07,72.0,15.43
301,Bolivar,1,US,1564288352,77,37.61,-93.41,75.99,5.82
302,Coquimbo,75,CL,1564288641,93,-29.95,-71.34,46.4,5.82
303,East London,0,ZA,1564288644,17,-33.02,27.91,71.6,10.29
304,Banjar,4,ID,1564288645,55,-7.37,108.54,82.58,8.95
305,Padang,66,ID,1564288646,72,-0.92,100.36,82.9,9.48
306,Yumen,0,CN,1564288647,13,40.29,97.04,84.94,4.85
307,Constitucion,57,MX,1564288649,76,23.99,-104.67,56.32,2.71
308,Kefamenanu,0,ID,1564288650,44,-9.45,124.48,82.85,7.29
309,Chico,1,US,1564288612,15,39.73,-121.84,95.0,4.88
310,Obo,100,CF,1564288652,93,5.39,26.49,68.77,2.73
311,Hasaki,75,JP,1564288654,83,35.73,140.83,87.01,9.17
312,San Pedro,46,AR,1564288655,79,-33.68,-59.66,46.99,1.01
313,Marienburg,0,DE,1564288656,77,52.12,9.98,68.0,9.17
314,Evanston,1,US,1564288657,69,42.04,-87.69,80.01,5.82
315,West Wendover,1,US,1564288659,39,40.74,-114.07,78.8,6.93
316,Pangkalanbuun,94,ID,1564288660,47,-2.68,111.62,90.88,3.2
317,Mahajanga,20,MG,1564288517,72,-15.72,46.32,66.2,4.7
318,Vestmannaeyjar,100,IS,1564288662,91,63.44,-20.27,54.25,24.23
319,Chapais,75,CA,1564288664,77,49.78,-74.86,66.2,10.29
320,Hay River,75,CA,1564288665,76,60.82,-115.79,51.8,2.24
321,Henties Bay,0,NA,1564288666,97,-22.12,14.28,52.0,1.01
322,Pedernales,97,EC,1564288668,86,0.07,-80.05,73.34,12.55
323,Turukhansk,100,RU,1564288669,70,65.8,87.96,61.84,11.07
324,Dunedin,100,NZ,1564288640,68,-45.87,170.5,53.01,1.01
325,Olinda,68,AU,1564288671,54,-37.84,145.39,59.0,4.7
326,Fatehpur,0,PK,1564288672,40,31.18,71.21,97.01,9.75
327,Esna,5,RO,1564288673,82,45.2,27.57,62.6,3.36
328,Gimli,0,CA,1564288675,54,50.63,-96.99,73.0,3.0
329,Bend,1,US,1564288385,46,44.06,-121.32,73.4,8.05
330,Kondinskoye,100,RU,1564288677,90,59.65,67.41,54.59,8.32
331,Mahebourg,75,MU,1564288678,100,-20.41,57.7,72.0,12.75
332,Ternate,75,PH,1564288679,94,14.29,120.72,82.99,6.93
333,Beloha,0,MG,1564288681,62,-25.17,45.06,66.5,12.39
334,Great Yarmouth,100,GB,1564288682,100,52.61,1.73,63.0,10.29
335,Sovetskiy,60,RU,1564288683,71,56.76,48.47,60.47,12.82
336,Kamenka,4,MD,1564288685,83,48.03,28.7,66.99,6.42
337,Dikson,100,RU,1564288686,95,73.51,80.55,35.56,9.51
338,Florence,40,US,1564288611,78,34.2,-79.77,75.2,3.56
339,Malatya,0,TR,1564288689,30,38.35,38.32,69.8,1.12
340,Azoyu,75,MX,1564288691,94,16.72,-98.73,67.55,1.83
341,Guaranda,21,EC,1564288692,81,-1.59,-79.0,44.72,9.1
342,Saskylakh,99,RU,1564288693,41,71.97,114.09,56.96,11.74
343,Jacareacanga,41,BR,1564288694,59,-6.22,-57.76,72.73,1.57
344,Ilulissat,12,GL,1564288696,70,69.22,-51.1,42.8,11.81
345,Buta,98,CD,1564288697,95,2.79,24.73,69.89,0.58
346,Wadi Musa,0,JO,1564288698,56,30.32,35.48,77.07,0.11
347,Shingu,40,JP,1564288699,89,33.72,135.99,84.2,9.17
348,Monrovia,75,LR,1564288701,100,6.33,-10.8,75.2,17.22
349,Labuhan,55,ID,1564288702,38,-2.54,115.51,93.56,3.11
350,Bilibino,95,RU,1564288703,54,68.06,166.44,44.9,6.55
351,Manzhouli,22,CN,1564288705,32,49.6,117.43,83.5,17.83
352,Dzhebariki-Khaya,31,RU,1564288708,27,62.22,135.8,83.78,4.16
353,Lubango,0,AO,1564288710,61,-14.92,13.49,54.7,1.16
354,Lembeni,43,TZ,1564288711,64,-3.78,37.62,67.08,7.43
355,Victor Harbor,0,AU,1564288712,55,-35.55,138.62,64.99,6.93
356,Belmonte,0,PT,1564288714,95,40.36,-7.35,63.0,2.89
357,Anadyr,40,RU,1564288715,71,64.73,177.51,55.4,15.66
358,Amga,32,RU,1564288716,27,60.89,131.98,83.87,2.68
359,Aitape,100,PG,1564288717,76,-3.15,142.36,79.34,2.98
360,Taoudenni,0,ML,1564288718,11,22.68,-3.98,93.76,9.26
361,Port Hedland,15,AU,1564288719,18,-20.31,118.58,87.8,9.17
362,Manggar,100,ID,1564288721,54,-2.88,108.27,88.63,8.63
363,Buala,100,SB,1564288722,88,-8.15,159.59,77.41,6.69
364,Ambanja,75,MG,1564288723,100,-13.68,48.45,71.6,2.24
365,Leningradskiy,97,RU,1564288724,75,69.38,178.42,46.96,13.31
366,Marsa Matruh,40,EG,1564288726,83,31.35,27.25,75.2,5.82
367,San Carlos de Bariloche,40,AR,1564288727,86,-41.13,-71.31,28.4,6.93
368,Deshnok,100,IN,1564288728,75,27.8,73.34,84.67,13.87
369,Verkhoyansk,74,RU,1564288729,35,67.55,133.39,65.06,11.9
370,Emerald,0,AU,1564288731,24,-23.53,148.16,79.0,5.82
371,Altamira,16,BR,1564288733,79,-3.2,-52.21,73.54,2.75
372,Kattivakkam,40,IN,1564288734,62,13.22,80.32,89.6,6.93
373,Nhulunbuy,75,AU,1564288735,57,-12.18,136.78,80.6,16.11
